data,responsável,temperatura
segunda - 03/04/2023 18:00,Júlia,25.5
segunda - 03/04/2023 18:15,Júlia,25.62
segunda - 03/04/2023 18:30,Júlia,25.19
segunda - 03/04/2023 18:45,Júlia,25.42
segunda - 03/04/2023 19:00,Júlia,24.96
segunda - 03/04/2023 19:15,Júlia,24.45
segunda - 03/04/2023 19:30,Júlia,24.73
segunda - 03/04/2023 19:45,Júlia,24.71
segunda - 03/04/2023 20:00,Júlia,24.56
segunda - 03/04/2023 20:15,Júlia,24.21
segunda - 03/04/2023 20:30,Júlia,24.03
segunda - 03/04/2023 20:45,Júlia,23.58
segunda - 03/04/2023 21:00,Júlia,23.73
segunda - 03/04/2023 21:15,Júlia,23.42
segunda - 03/04/2023 21:30,Júlia,23.61
segunda - 03/04/2023 21:45,Júlia,22.83
segunda - 03/04/2023 22:00,Júlia,22.91
segunda - 03/04/2023 22:15,Júlia,22.98
segunda - 03/04/2023 22:30,Júlia,22.57
segunda - 03/04/2023 22:45,Júlia,22.4
segunda - 03/04/2023 23:00,Júlia,22.11
segunda - 03/04/2023 23:15,Júlia,21.64
segunda - 03/04/2023 23:30,Júlia,21.76
segunda - 03/04/2023 23:45,Júlia,
terça - 04/04/2023 00:00,Letícia,23.12
terça - 04/04/2023 00:15,Letícia,23.06
terça - 04/04/2023 00:30,Letícia,22.18
terça - 04/04/2023 00:45,Letícia,22.21
terça - 04/04/2023 01:00,Letícia,22.06
terça - 04/04/2023 01:15,Letícia,21.69
terça - 04/04/2023 01:30,Letícia,21.85
terça - 04/04/2023 01:45,Letícia,21.56
terça - 04/04/2023 02:00,Letícia,21.57
terça - 04/04/2023 02:15,Letícia,21.48
terça - 04/04/2023 02:30,Letícia,21.68
terça - 04/04/2023 02:45,Letícia,21.01
terça - 04/04/2023 03:00,Letícia,21.06
terça - 04/04/2023 03:15,Letícia,21.07
terça - 04/04/2023 03:30,Letícia,21.02
terça - 04/04/2023 03:45,Letícia,20.88
terça - 04/04/2023 04:00,Letícia,20.91
terça - 04/04/2023 04:15,Letícia,20.57
terça - 04/04/2023 04:30,Letícia,21.22
terça - 04/04/2023 04:45,Letícia,21.19
terça - 04/04/2023 05:00,Letícia,21.33
terça - 04/04/2023 05:15,Letícia,21.54
terça - 04/04/2023 05:30,Letícia,21.06
terça - 04/04/2023 05:45,Letícia,21.66
terça - 04/04/2023 06:00,Letícia,21.96
terça - 04/04/2023 06:15,Letícia,21.84
terça - 04/04/2023 06:30,Letícia,22.26
terça - 04/04/2023 06:45,Letícia,22.05
terça - 04/04/2023 07:00,Letícia,
terça - 04/04/2023 07:15,Letícia,22.49
terça - 04/04/2023 07:30,Letícia,22.59
terça - 04/04/2023 07:45,Letícia,23.01
terça - 04/04/2023 08:00,Marcela,23.16
terça - 04/04/2023 08:15,Marcela,23.51
terça - 04/04/2023 08:30,Marcela,23.53
terça - 04/04/2023 08:45,Marcela,23.75
terça - 04/04/2023 09:00,Marcela,23.86
terça - 04/04/2023 09:15,Marcela,23.94
terça - 04/04/2023 09:30,Marcela,24.72
terça - 04/04/2023 09:45,Marcela,24.56
terça - 04/04/2023 10:00,Marcela,24.98
terça - 04/04/2023 10:15,Marcela,25.59
terça - 04/04/2023 10:30,Marcela,26.16
terça - 04/04/2023 10:45,Marcela,25.9
terça - 04/04/2023 11:00,Marcela,26.32
terça - 04/04/2023 11:15,Marcela,26.77
terça - 04/04/2023 11:30,Marcela,26.68
terça - 04/04/2023 11:45,Marcela,26.77
terça - 04/04/2023 12:00,Marcela,26.97
terça - 04/04/2023 12:15,Marcela,27.32
terça - 04/04/2023 12:30,Marcela,27.45
terça - 04/04/2023 12:45,Marcela,28.01
terça - 04/04/2023 13:00,Marcela,27.82
terça - 04/04/2023 13:15,Marcela,27.98
terça - 04/04/2023 13:30,Marcela,28.11
terça - 04/04/2023 13:45,Marcela,28.27
terça - 04/04/2023 14:00,Marcela,28.36
terça - 04/04/2023 14:15,Marcela,28.92
terça - 04/04/2023 14:30,Marcela,28.25
terça - 04/04/2023 14:45,Marcela,28.89
terça - 04/04/2023 15:00,Marcela,28.93
terça - 04/04/2023 15:15,Marcela,28.63
terça - 04/04/2023 15:30,Marcela,28.62
terça - 04/04/2023 15:45,Marcela,28.89
terça - 04/04/2023 16:00,Rafael,
terça - 04/04/2023 16:15,Rafael,28.81
terça - 04/04/2023 16:30,Rafael,29.02
terça - 04/04/2023 16:45,Rafael,28.75
terça - 04/04/2023 17:00,Rafael,28.91
terça - 04/04/2023 17:15,Rafael,28.4
terça - 04/04/2023 17:30,Rafael,28.59
terça - 04/04/2023 17:45,Rafael,28.77
terça - 04/04/2023 18:00,Rafael,28.55
terça - 04/04/2023 18:15,Rafael,28.24
terça - 04/04/2023 18:30,Rafael,27.93
terça - 04/04/2023 18:45,Rafael,27.61
terça - 04/04/2023 19:00,Rafael,27.25
terça - 04/04/2023 19:15,Rafael,27.05
terça - 04/04/2023 19:30,Rafael,27.29
terça - 04/04/2023 19:45,Rafael,26.96
terça - 04/04/2023 20:00,Rafael,26.79
terça - 04/04/2023 20:15,Rafael,26.69
terça - 04/04/2023 20:30,Rafael,25.92
terça - 04/04/2023 20:45,Rafael,25.98
terça - 04/04/2023 21:00,Rafael,25.37
terça - 04/04/2023 21:15,Rafael,25.52
terça - 04/04/2023 21:30,Rafael,25.22
terça - 04/04/2023 21:45,Rafael,24.77
terça - 04/04/2023 22:00,Rafael,24.7
terça - 04/04/2023 22:15,Rafael,24.38
terça - 04/04/2023 22:30,Rafael,24.39
terça - 04/04/2023 22:45,Rafael,23.78
terça - 04/04/2023 23:00,Rafael,23.75
terça - 04/04/2023 23:15,Rafael,23.51
terça - 04/04/2023 23:30,Rafael,22.99
terça - 04/04/2023 23:45,Rafael,22.67
quarta - 05/04/2023 00:00,Fábio,21.78
quarta - 05/04/2023 00:15,Fábio,21.32
quarta - 05/04/2023 00:30,Fábio,21.65
quarta - 05/04/2023 00:45,Fábio,20.74
quarta - 05/04/2023 01:00,Fábio,20.64
quarta - 05/04/2023 01:15,Fábio,20.9
quarta - 05/04/2023 01:30,Fábio,20.75
quarta - 05/04/2023 01:45,Fábio,20.23
quarta - 05/04/2023 02:00,Fábio,20.54
quarta - 05/04/2023 02:15,Fábio,20.42
quarta - 05/04/2023 02:30,Fábio,20.31
quarta - 05/04/2023 02:45,Fábio,20.01
quarta - 05/04/2023 03:00,Fábio,20.11
quarta - 05/04/2023 03:15,Fábio,
quarta - 05/04/2023 03:30,Fábio,19.96
quarta - 05/04/2023 03:45,Fábio,19.94
quarta - 05/04/2023 04:00,Fábio,20.2
quarta - 05/04/2023 04:15,Fábio,
quarta - 05/04/2023 04:30,Fábio,20.04
quarta - 05/04/2023 04:45,Fábio,20.08
quarta - 05/04/2023 05:00,Fábio,20.01
quarta - 05/04/2023 05:15,Fábio,20.12
quarta - 05/04/2023 05:30,Fábio,20.54
quarta - 05/04/2023 05:45,Fábio,20.66
quarta - 05/04/2023 06:00,Fábio,20.15
quarta - 05/04/2023 06:15,Fábio,20.44
quarta - 05/04/2023 06:30,Fábio,20.9
quarta - 05/04/2023 06:45,Fábio,20.57
quarta - 05/04/2023 07:00,Fábio,20.86
quarta - 05/04/2023 07:15,Fábio,21.19
quarta - 05/04/2023 07:30,Fábio,21.16
quarta - 05/04/2023 07:45,Fábio,21.08
quarta - 05/04/2023 08:00,Fernando,21.55
quarta - 05/04/2023 08:15,Fernando,22.05
quarta - 05/04/2023 08:30,Fernando,21.66
quarta - 05/04/2023 08:45,Fernando,21.93
quarta - 05/04/2023 09:00,Fernando,22.59
quarta - 05/04/2023 09:15,Fernando,22.53
quarta - 05/04/2023 09:30,Fernando,22.91
quarta - 05/04/2023 09:45,Fernando,23.09
quarta - 05/04/2023 10:00,Fernando,23.08
quarta - 05/04/2023 10:15,Fernando,23.31
quarta - 05/04/2023 10:30,Fernando,23.38
quarta - 05/04/2023 10:45,Fernando,23.5
quarta - 05/04/2023 11:00,Fernando,23.77
quarta - 05/04/2023 11:15,Fernando,24.03
quarta - 05/04/2023 11:30,Fernando,24.28
quarta - 05/04/2023 11:45,Fernando,24.62
quarta - 05/04/2023 12:00,Fernando,24.75
quarta - 05/04/2023 12:15,Fernando,24.63
quarta - 05/04/2023 12:30,Fernando,24.98
quarta - 05/04/2023 12:45,Fernando,25.17
quarta - 05/04/2023 13:00,Fernando,25.07
quarta - 05/04/2023 13:15,Fernando,25.3
quarta - 05/04/2023 13:30,Fernando,25.18
quarta - 05/04/2023 13:45,Fernando,25.58
quarta - 05/04/2023 14:00,Fernando,26.08
quarta - 05/04/2023 14:15,Fernando,25.96
quarta - 05/04/2023 14:30,Fernando,25.91
quarta - 05/04/2023 14:45,Fernando,25.85
quarta - 05/04/2023 15:00,Fernando,25.77
quarta - 05/04/2023 15:15,Fernando,26.03
quarta - 05/04/2023 15:30,Fernando,25.95
quarta - 05/04/2023 15:45,Fernando,26.12
quarta - 05/04/2023 16:00,Júlia,25.8
quarta - 05/04/2023 16:15,Júlia,25.72
quarta - 05/04/2023 16:30,Júlia,25.8
quarta - 05/04/2023 16:45,Júlia,25.63
quarta - 05/04/2023 17:00,Júlia,25.92
quarta - 05/04/2023 17:15,Júlia,
quarta - 05/04/2023 17:30,Júlia,25.55
quarta - 05/04/2023 17:45,Júlia,26.23
quarta - 05/04/2023 18:00,Júlia,25.22
quarta - 05/04/2023 18:15,Júlia,25.54
quarta - 05/04/2023 18:30,Júlia,25.21
quarta - 05/04/2023 18:45,Júlia,25.12
quarta - 05/04/2023 19:00,Júlia,24.55
quarta - 05/04/2023 19:15,Júlia,24.97
quarta - 05/04/2023 19:30,Júlia,24.77
quarta - 05/04/2023 19:45,Júlia,24.73
quarta - 05/04/2023 20:00,Júlia,24.55
quarta - 05/04/2023 20:15,Júlia,24.45
quarta - 05/04/2023 20:30,Júlia,24.25
quarta - 05/04/2023 20:45,Júlia,23.7
quarta - 05/04/2023 21:00,Júlia,23.86
quarta - 05/04/2023 21:15,Júlia,23.6
quarta - 05/04/2023 21:30,Júlia,23.37
quarta - 05/04/2023 21:45,Júlia,23.32
quarta - 05/04/2023 22:00,Júlia,22.75
quarta - 05/04/2023 22:15,Júlia,22.37
quarta - 05/04/2023 22:30,Júlia,22.25
quarta - 05/04/2023 22:45,Júlia,22.27
quarta - 05/04/2023 23:00,Júlia,21.99
quarta - 05/04/2023 23:15,Júlia,21.95
quarta - 05/04/2023 23:30,Júlia,21.61
quarta - 05/04/2023 23:45,Júlia,21.31
quinta - 06/04/2023 00:00,Letícia,22.53
quinta - 06/04/2023 00:15,Letícia,22.14
quinta - 06/04/2023 00:30,Letícia,21.85
quinta - 06/04/2023 00:45,Letícia,21.82
quinta - 06/04/2023 01:00,Letícia,21.29
quinta - 06/04/2023 01:15,Letícia,21.08
quinta - 06/04/2023 01:30,Letícia,21.18
quinta - 06/04/2023 01:45,Letícia,
quinta - 06/04/2023 02:00,Letícia,20.18
quinta - 06/04/2023 02:15,Letícia,20.81
quinta - 06/04/2023 02:30,Letícia,20.54
quinta - 06/04/2023 02:45,Letícia,20.45
quinta - 06/04/2023 03:00,Letícia,19.94
quinta - 06/04/2023 03:15,Letícia,20.05
quinta - 06/04/2023 03:30,Letícia,19.99
quinta - 06/04/2023 03:45,Letícia,20.19
quinta - 06/04/2023 04:00,Letícia,20.2
quinta - 06/04/2023 04:15,Letícia,20.08
quinta - 06/04/2023 04:30,Letícia,20.25
quinta - 06/04/2023 04:45,Letícia,19.78
quinta - 06/04/2023 05:00,Letícia,20.34
quinta - 06/04/2023 05:15,Letícia,19.99
quinta - 06/04/2023 05:30,Letícia,20.36
quinta - 06/04/2023 05:45,Letícia,20.46
quinta - 06/04/2023 06:00,Letícia,20.8
quinta - 06/04/2023 06:15,Letícia,20.95
quinta - 06/04/2023 06:30,Letícia,21.03
quinta - 06/04/2023 06:45,Letícia,21.22
quinta - 06/04/2023 07:00,Letícia,21.61
quinta - 06/04/2023 07:15,Letícia,21.86
quinta - 06/04/2023 07:30,Letícia,21.96
quinta - 06/04/2023 07:45,Letícia,21.82
quinta - 06/04/2023 08:00,Marcela,22.29
quinta - 06/04/2023 08:15,Marcela,22.66
quinta - 06/04/2023 08:30,Marcela,23.49
quinta - 06/04/2023 08:45,Marcela,23.31
quinta - 06/04/2023 09:00,Marcela,23.59
quinta - 06/04/2023 09:15,Marcela,24.25
quinta - 06/04/2023 09:30,Marcela,24.23
quinta - 06/04/2023 09:45,Marcela,25.01
quinta - 06/04/2023 10:00,Marcela,25.01
quinta - 06/04/2023 10:15,Marcela,25.5
quinta - 06/04/2023 10:30,Marcela,25.82
quinta - 06/04/2023 10:45,Marcela,26.32
quinta - 06/04/2023 11:00,Marcela,26.31
quinta - 06/04/2023 11:15,Marcela,26.66
quinta - 06/04/2023 11:30,Marcela,27.06
quinta - 06/04/2023 11:45,Marcela,27.29
quinta - 06/04/2023 12:00,Marcela,27.57
quinta - 06/04/2023 12:15,Marcela,28.01
quinta - 06/04/2023 12:30,Marcela,28.2
quinta - 06/04/2023 12:45,Marcela,28.23
quinta - 06/04/2023 13:00,Marcela,28.6
quinta - 06/04/2023 13:15,Marcela,28.48
quinta - 06/04/2023 13:30,Marcela,29.09
quinta - 06/04/2023 13:45,Marcela,29.04
quinta - 06/04/2023 14:00,Marcela,29.64
quinta - 06/04/2023 14:15,Marcela,
quinta - 06/04/2023 14:30,Marcela,29.6
quinta - 06/04/2023 14:45,Marcela,29.96
quinta - 06/04/2023 15:00,Marcela,30.27
quinta - 06/04/2023 15:15,Marcela,29.87
quinta - 06/04/2023 15:30,Marcela,30.05
quinta - 06/04/2023 15:45,Marcela,30.05
quinta - 06/04/2023 16:00,Rafael,30.21
quinta - 06/04/2023 16:15,Rafael,30.26
quinta - 06/04/2023 16:30,Rafael,30.04
quinta - 06/04/2023 16:45,Rafael,29.69
quinta - 06/04/2023 17:00,Rafael,29.39
quinta - 06/04/2023 17:15,Rafael,29.68
quinta - 06/04/2023 17:30,Rafael,
quinta - 06/04/2023 17:45,Rafael,29.31
quinta - 06/04/2023 18:00,Rafael,29.56
quinta - 06/04/2023 18:15,Rafael,28.77
quinta - 06/04/2023 18:30,Rafael,28.9
quinta - 06/04/2023 18:45,Rafael,28.85
quinta - 06/04/2023 19:00,Rafael,28.18
quinta - 06/04/2023 19:15,Rafael,27.87
quinta - 06/04/2023 19:30,Rafael,27.81
quinta - 06/04/2023 19:45,Rafael,27.63
quinta - 06/04/2023 20:00,Rafael,27.51
quinta - 06/04/2023 20:15,Rafael,26.78
quinta - 06/04/2023 20:30,Rafael,26.95
quinta - 06/04/2023 20:45,Rafael,26.35
